prompt_id,category,char_id,intent_id,situation_id,consumer_utterance,paraphrase_1,paraphrase_2,paraphrase_3,expected_coerced_value,notes
TRAIT-P1B-001,TRAIT_GAP_FILL,CHAR-P1B-I1,,,No I don't have any vulnerability flags,Not as far as I know,No,Nothing noted on my account,False,vulnerability=False. No excluding characteristic triggered.
TRAIT-P1B-002,TRAIT_GAP_FILL,CHAR-P1B-I1,,,Yes I'm flagged as a vulnerable customer,Yes I am,Yes there is a flag,Yes,True,vulnerability=True → R-003 GATE → HUMAN_REVIEW. FCA FG21/1.
TRAIT-F2B-001,TRAIT_GAP_FILL,CHAR-F2B-I1,,,"I have about £12,000 in savings",Roughly twelve thousand,Around 12k,"£12,000",12000,savings_balance=12000. >= £10k qualifies for SEG-INV-001
TRAIT-F2B-002,TRAIT_GAP_FILL,CHAR-F2B-I1,,,I only have £800 saved,About eight hundred pounds,"Not much, around 800",£800,800,savings_balance=800. >= £500 qualifies for SEG-INV-002
TRAIT-F2I-001,TRAIT_GAP_FILL,CHAR-F2I-I1,,,No I don't have any investments,Not got any investment accounts,No,Never had one,False,has_investment=False. IC for INV-001/002/003/004/006.
TRAIT-F2I-002,TRAIT_GAP_FILL,CHAR-F2I-I1,,,Yes I have a Stocks and Shares ISA,Yes I've got one,Yes,I hold an investment ISA already,True,has_investment=True. IC for INV-005 (holds dormant investment).
TRAIT-F2L-001,TRAIT_GAP_FILL,CHAR-F2L-I1,,,I've been with you for about 2 years,Two years or so,Around 24 months,About two years,24,account_tenure_months=24. >= 12 qualifies for SEG-INV-001
TRAIT-F2M-001,TRAIT_GAP_FILL,CHAR-F2M-I1,,,"I received about £20,000",Twenty thousand,£20k,"Around 20,000 pounds",20000,lump_sum=20000. £5k-£75k qualifies for SEG-INV-004
TRAIT-F2M-002,TRAIT_GAP_FILL,CHAR-F2M-I1,,,"It's about £80,000",Eighty thousand,Around 80k,"£80,000",80000,lump_sum=80000. > £75k → EC-INV-004-01 → SUPPRESS (exit TS)
TRAIT-F2Q-001,TRAIT_GAP_FILL,CHAR-F2Q-I1,,,It matures in about 45 days,Six weeks or so,45 days,About a month and a half,45,days_to_maturity=45. <= 60 qualifies for SEG-SD-001
TRAIT-P2A-001,TRAIT_GAP_FILL,CHAR-P2A-I1,,,I think I pay in about 8 percent,Eight percent,8%,Around 8 per cent,8,pension_contribution_pct=8. <= 8% AE minimum qualifies for SEG-PEN-001
TRAIT-P2A-002,TRAIT_GAP_FILL,CHAR-P2A-I1,,,My total contribution is about 15 percent,Fifteen percent,15%,About 15 per cent,15,pension_contribution_pct=15. > 12% fails SEG-PEN-003 (IC: <= 12%)
TRAIT-P2B-001,TRAIT_GAP_FILL,CHAR-P2B-I1,,,Yes I'm in a workplace pension scheme,Yes I have a work pension,Yes,Yes I'm a member,True,"active_dc_member=True. IC for SEG-PEN-001/002/003, SEG-DEC-001/002/003"
TRAIT-P2D-001,TRAIT_GAP_FILL,CHAR-P2D-I1,,,About 25 years until I retire,Twenty-five years,25 years,A long way off,25,years_to_retirement=25. > 5 so EC-PEN-001-03 not triggered
TRAIT-P2D-002,TRAIT_GAP_FILL,CHAR-P2D-I1,,,I plan to retire in 3 years,Three years,About 3 years,I'm retiring soon,3,years_to_retirement=3. <= 5 triggers EC-PEN-001-03 → redirect to DEC segment
TRAIT-P2L-001,TRAIT_GAP_FILL,CHAR-P2L-I1,,,"My pension pot is about £18,000",Eighteen thousand,Around £18k,"£18,000",18000,pension_pot_value=18000. £5k-£30k qualifies for SEG-DEC-002
TRAIT-P2L-002,TRAIT_GAP_FILL,CHAR-P2L-I1,,,"I have around £60,000 in my pension",About sixty thousand,Roughly £60k,"60,000 pounds",60000,pension_pot_value=60000. > £30k ceiling → EC-DEC-002-02 → SUPPRESS
TRAIT-P2M-001,TRAIT_GAP_FILL,CHAR-P2M-I1,,,Yes I'm interested in annuities,Yes I've been thinking about getting an annuity,Yes,I want to know more about annuities,True,expressed_annuity_interest=True. IC for SEG-DEC-003
TRAIT-P2N-001,TRAIT_GAP_FILL,CHAR-P2N-I1,,,It's been about 20 months since I last checked,Around 20 months,Nearly two years,20 months,20,months_since_review=20. >= 18 qualifies for SEG-DEC-004
TRAIT-B3A-001,TRAIT_GAP_FILL,CHAR-B3A-I1,,,I'd say about a 3 out of 5,"Moderate risk, maybe a 3",3,Middle of the road,3,risk_appetite=3.0. >= 2.0 minimum for ISA products (R-005 PASS)
TRAIT-B3A-002,TRAIT_GAP_FILL,CHAR-B3A-I1,,,"I'm very cautious, maybe a 1","Very low, about 1",1 out of 5,1,1,risk_appetite=1.0. < 2.0 → R-005 FAIL for ISA products
TRAIT-B3B-001,TRAIT_GAP_FILL,CHAR-B3B-I1,,,I've never invested before so no experience,Zero experience,None at all,0,0,investment_experience=0. Qualifies for INV-002 (entry-level); fails R-006 for advanced ISA
TRAIT-B3B-002,TRAIT_GAP_FILL,CHAR-B3B-I1,,,"Some experience, I've had a stocks and shares ISA before",Basic experience,I've invested a bit,1,1,investment_experience=1. R-006 PASS for ISA products
EDGE-001,EDGE_CASE,CHAR-F2B-I1,,,I'm not sure exactly how much I have,Hard to say,I'd need to check,Not sure,unknown,Consumer declines. System stores 'unknown'. Node stays MISSING.
EDGE-002,EDGE_CASE,CHAR-B3A-I1,,,What do you mean by risk appetite?,I don't understand that question,Could you explain?,I'm not sure what that means,,Agent must clarify before re-asking. No coercion.
EDGE-003,EDGE_CASE,CHAR-P2L-I1,,,Somewhere between £20k and £40k I think,Around thirty thousand,I'd guess about 30k,In that range,30000,Approximate range — agent takes midpoint estimate.
EDGE-004,EDGE_CASE,,,,I need some help with my money but I'm not sure what,Not sure where to start,General financial direction please,I just want some guidance,,Ambiguous intent. Agent asks clarifying question before situation routing.
EDGE-005,EDGE_CASE,CHAR-P2K-I1,,,Yes I have a final salary pension from a previous employer,I have a defined benefit pension,"Yes, I'm in a DB scheme",Yes I have a final salary scheme,True,DB transfer applicable → EC-DEC-001-02 → SUPPRESS (mandatory specialist referral). COBS 9/9A.
